STATE,CITY,NAME,IG,SAT,SUN,OTA,CREATED,LAT,LON,WEBSITE,ADDRESS
New Jersey,Middletown,Renzo Gracie Middletown,renzograciemiddletown,,,,,,,https://renzograciemiddletownmartialarts.com/
New Jersey,Freehold,Dante Rivera BJJ Academy,danterivera_bjj,,,,,,,https://www.danteriverabjjacademy.com/
New Jersey,Manalapan,Lucky Cat Grappling Co.,luckycatgrapplingnj,,,,,,,https://www.luckycatgrappling.com/
New Jersey,Long Branch,House of Salt Jiu-Jitsu,houseofsaltjiujitsu,,,,,,,https://houseofsaltnj.com/
New Jersey,Morganville,Heritage Jiu-Jitsu,heritage_bjj,,,,,,,https://heritage-bjj.com/
New Jersey,Marlboro,The Inferno Training and Performance Center,infernotpc,,,,,,,https://www.infernotpc.com/
New Jersey,Morganville,Fatjo’s Mixed Martial Arts,fatjosmma,,,,,,,https://fatjosmma.com/
New Jersey,Hazlet,Bayshore Brazilian Jiu Jitsu,bayshorebjj,,,,,,,https://bayshorebjj.com/
New Jersey,Toms River,The Academy of Jiu-Jitsu,academyofjj,,,,,,,https://theacademyjj.com/
New Jersey,Forked River,Ocean County Brazilian Jiu-Jitsu,oceancountybjj,,,,,,,https://oceancountybjj.com/
New Jersey,Point Pleasant,Bill Scott BJJ Shore Academy,bjjshoreacademy,,,,,,,https://www.billscottbjj.com/
New Jersey,Brick,Nick Catone MMA & Fitness,nsc_trainingcenter,,,,,,,https://www.nickcatonefitness.com/
New Jersey,Bayville,Tong Dragon MMA,tongdragonmma,,,,,,,https://tongdragon.com/
New Jersey,Flemington,Loftus Jiu-Jitsu Academy,loftusjiujitsu,,,,,,,https://loftusjiujitsu.com/
New Jersey,Lebanon,Gracie New Jersey Academy,gracienjacademy,,,,,,,https://gracienewjersey.com/
New Jersey,Clinton,Impact Martial Arts Clinton,impactmartialartsclinton,,,,,,,https://impactmartialarts.net/
New Jersey,Pennsauken,Maverick Brazilian Jiu Jitsu,maverick_bjj,,,,,,,https://www.maverickbjj.net/
New Jersey,Clementon,Daniel Tavares BJJ Academy,danieltavaresbjjacademy,,,,,,,https://www.danieltavaresbjjacademy.com/
New Jersey,Cherry Hill,Strive Brazilian Jiu Jitsu,strivebjj,,,,,,,https://strivebjj.com/
New Jersey,Hi-Nella,Fighters United,fightersunitedmma,,,,,,,https://fightersunitednj.com/
New Jersey,Marlton,McHugh Jiu Jitsu - Marlton,mchughjiujitsuhq,,,,,,,https://mchughbjj.com/locations/marlton/
New Jersey,Mount Laurel,McHugh Jiu Jitsu - Mount Laurel,mchughjiujitsu_mtlaurel,,,,,,,https://mchughbjjmtlaurel.com/
New Jersey,Moorestown,Moorestown Brazilian Jiu-Jitsu,moorestownbjj,,,,,,,https://moorestownbjj.com/
New Jersey,Maple Shade,New Jersey Martial Arts (NJMA) - Maple Shade,teamnjma,,,,,,,https://njmaonline.com/jiu-jitsu-classes/
New Jersey,Cookstown,Power Half Wrestling & MMA,power_half_wrestling,,,,,,,https://powerhalfwrestling.com/
New Jersey,Sewell,Hassett’s Jiu-Jitsu - Sewell,hassettsjiujitsu,,,,,,,https://hassettsjiujitsu.com/sewell
New Jersey,Williamstown,Hassett’s Jiu-Jitsu - Williamstown,hassettsjiujitsu,,,,,,,https://hassettsjiujitsu.com/williamstown
New Jersey,Woodstown,Freedom Jiu-Jitsu,freedom_jiujitsu_southjersey,,,,,,,https://www.freedomjiu-jitsu.com/
New Jersey,Egg Harbor Township,609 Jiu-Jitsu,609jiujitsu,,,,,,,https://609jiujitsu.com/
New Jersey,Egg Harbor Township,Harbor Jiu Jitsu,harborjiujitsu,,,,,,,https://www.harborjiujitsu.com/
